date,ground_no2,satellite_no2,curr_temp_celsius,curr_surface_net_solar_radiation,curr_surface_pressure,curr_boundary_layer_height,prev_temp_celsius,prev_surface_net_solar_radiation,prev_surface_pressure,prev_boundary_layer_height,prev_wind_dir
2022-06-11,15.64016,9.259912021458236e-05,30.83705342610679,2347633.7,100158.4345,1819.7338499999998,23.966751098632834,863730.6199999999,100241.94499999999,585.1171879999999,5
2022-06-12,13.58476,6.717879456969391e-05,33.462319946289085,2295078.16,100126.574,1901.42663,26.23471374511721,836547.4600000001,100238.0705,517.874775,4
2022-06-13,22.465999999999998,0.00010838541667444609,33.16753879123266,1976058.7888888891,99658.96522222222,2246.2390555555558,27.286595569957413,777214.5255555556,99818.62555555555,717.9524222222221,4
2022-06-14,19.316511111111108,6.945056848606269e-05,31.456577555338566,2010792.5333333334,100022.74222222221,1621.5765333333334,26.58890084931347,759384.1755555556,100040.14333333334,687.0402777777776,5
2022-06-15,17.5187,6.290476851069095e-05,32.13065999348961,1975631.5,100150.78,1867.8412,27.23429676402701,698091.7,100209.66,756.64594,4
2022-06-16,25.735519999999998,0.00013154476266766263,35.250561523437526,2073217.31,99843.829,1502.6216,28.72295365767048,784612.7959999999,99992.518,623.448443,2
2022-06-17,23.17430909090909,9.569104693741458e-05,34.89112012458572,2131531.527272727,100109.28909090908,1905.9634909090908,28.551775416855005,800717.1136363636,100175.40909090909,706.6919090909091,4
2022-06-18,15.760963636363636,5.625549986752743e-05,33.64449185458099,2230450.618181818,100226.33363636363,1639.0498090909093,28.55406120867771,796519.2363636363,100296.37545454547,784.3635054545455,4
2022-06-19,10.614786666666667,4.974184712045484e-05,34.55710110134551,2171404.36,99544.73066666667,1871.84328,29.165264522668114,766580.228,99695.19666666668,789.4621986666666,3
2022-06-20,15.3677,7.131783919187777e-05,35.232318405878,2172736.628571429,99199.1675,1990.432692857143,28.78714419278234,765970.7128571429,99361.06964285715,804.2413192857142,2
2022-06-21,14.066857142857144,5.5919417947419164e-05,34.20656665620352,1884674.664285714,99408.64535714286,748.2155992857142,27.767833997057654,666571.6635714286,99375.22321428571,550.5559921428571,1
2022-06-25,9.8468,4.307569072773052e-05,29.08091803656686,1916460.75,99350.06708333333,1940.4747083333332,24.0840124881629,765418.2549999999,99397.9225,611.689175,1
2022-06-26,8.798386666666666,5.561315930460003e-05,31.745271131727453,1986991.5533333335,99571.45733333334,1630.2139066666666,26.20594685872398,741015.2166666667,99604.65400000001,615.8584533333334,5
2022-06-27,16.234928571428572,6.551860585666368e-05,33.79009544735865,1879287.5071428572,99633.76028571428,1958.9868285714285,27.946813548694983,730041.6321428573,99679.8592857143,569.4076614285715,6
2022-06-28,37.266075,8.671245700318998e-05,23.565352376302105,533762.4075,99828.0375,354.56460375,24.32002358870075,323752.3875,99722.33499999999,369.60513,6
2022-06-29,14.168147619047618,6.093585609888317e-05,31.131271071661107,2145639.8285714285,99245.25685714287,1230.9427642857142,25.175329768193254,794736.4964285714,99341.93214285714,428.1553242857143,1
2022-06-30,14.829380952380953,5.346359544248395e-05,30.5923531668527,2087198.1,99343.99285714285,1204.251957142857,25.69548989828533,754317.5,99413.42142857143,503.40968000000004,1
2022-07-01,12.540671428571429,5.907690217171634e-05,30.562884812128004,1902354.6642857143,99455.13678571429,1954.8632285714286,25.38395982222126,667905.915,99530.82535714285,503.76997857142857,8
2022-07-02,13.670800000000002,6.534009649653253e-05,31.79425862630211,1731416.3333333333,99959.33000000002,1913.26376,26.463362352775828,765470.4613333333,99945.96066666668,557.5965146666666,5
2022-07-03,10.471386666666666,6.084145074372248e-05,35.2282416449653,2208950.6666666665,99729.25853333334,1375.3829240000002,28.87767056551849,795505.2533333334,99850.21466666667,366.6201326666667,5
2022-07-04,14.947742857142856,7.171076792159596e-05,30.867114548456126,2092328.9857142859,99660.012,490.82797928571426,25.99180032309002,603001.8571428572,99769.90964285715,187.40884000000003,7
2022-07-05,16.685614285714287,8.588167017873438e-05,33.72636820475263,2243181.4,99515.92214285715,2602.6576214285715,26.837530596844584,825981.005,99612.66678571429,666.1972,7
2022-07-06,11.110085714285715,6.581204114760706e-05,31.40827549525672,2119864.4142857147,99786.32642857144,2008.2631714285712,26.19458140583784,741896.5207142858,99830.5942857143,658.0810657142857,5
